x,y,z,partition,partitionArray
-0.06389224951003054,-0.22363080087111945,0.021075062014188597,"Dict{Integer, Integer}(5 => 4, 16 => 8, 7 => 3, 20 => 8, 12 => 8, 8 => 5, 17 => 9, 1 => 1, 19 => 9, 4 => 3, 6 => 5, 13 => 7, 2 => 1, 10 => 5, 11 => 7, 9 => 6, 15 => 10, 18 => 7, 14 => 9, 3 => 2)","Vector{Any}[[1, 2], [3], [7, 4], [5], [8, 6, 10], [9], [13, 11, 18], [16, 20, 12], [17, 19, 14], [15]]"
0.32121022361253215,-0.039263180903542215,0.022700453837444755,"Dict{Integer, Integer}(5 => 5, 16 => 9, 7 => 4, 20 => 3, 12 => 7, 8 => 6, 17 => 2, 1 => 1, 19 => 5, 4 => 4, 6 => 5, 13 => 7, 2 => 2, 10 => 6, 11 => 8, 9 => 7, 15 => 7, 18 => 10, 14 => 8, 3 => 3)","Vector{Any}[[1], [17, 2], [20, 3], [7, 4], [5, 19, 6], [8, 10], [12, 13, 9, 15], [11, 14], [16], [18]]"
0.19703703285764337,0.054664185224135096,0.021938003096118066,"Dict{Integer, Integer}(5 => 5, 16 => 8, 7 => 6, 20 => 4, 12 => 8, 8 => 1, 17 => 8, 1 => 1, 19 => 1, 4 => 4, 6 => 5, 13 => 9, 2 => 2, 10 => 7, 11 => 1, 9 => 6, 15 => 4, 18 => 4, 14 => 10, 3 => 3)","Vector{Any}[[8, 1, 19, 11], [2], [3], [20, 4, 15, 18], [5, 6], [7, 9], [10], [16, 12, 17], [13], [14]]"
0.26831196110446087,-0.2508146265506253,0.023108328765995768,"Dict{Integer, Integer}(5 => 4, 16 => 10, 7 => 2, 20 => 7, 12 => 8, 8 => 4, 17 => 7, 1 => 1, 19 => 10, 4 => 3, 6 => 2, 13 => 6, 2 => 2, 10 => 6, 11 => 7, 9 => 5, 15 => 1, 18 => 6, 14 => 9, 3 => 1)","Vector{Any}[[1, 15, 3], [7, 6, 2], [4], [5, 8], [9], [13, 10, 18], [20, 17, 11], [12], [14], [16, 19]]"
0.20769512165336845,0.37381006861446076,0.022591594053290566,"Dict{Integer, Integer}(5 => 5, 16 => 2, 7 => 7, 20 => 1, 12 => 7, 8 => 3, 17 => 6, 1 => 1, 19 => 6, 4 => 4, 6 => 6, 13 => 8, 2 => 2, 10 => 4, 11 => 8, 9 => 4, 15 => 8, 18 => 10, 14 => 9, 3 => 3)","Vector{Any}[[20, 1], [16, 2], [8, 3], [4, 10, 9], [5], [17, 19, 6], [7, 12], [13, 11, 15], [14], [18]]"
0.29703580954765035,-0.15010037062947398,0.02136733043506998,"Dict{Integer, Integer}(5 => 4, 16 => 8, 7 => 5, 20 => 7, 12 => 4, 8 => 6, 17 => 8, 1 => 1, 19 => 10, 4 => 4, 6 => 1, 13 => 7, 2 => 2, 10 => 3, 11 => 5, 9 => 4, 15 => 9, 18 => 6, 14 => 8, 3 => 3)","Vector{Any}[[1, 6], [2], [10, 3], [5, 12, 4, 9], [7, 11], [8, 18], [20, 13], [16, 17, 14], [15], [19]]"
-1.1254553715706486,-0.15205019267291375,0.021957533506481806,"Dict{Integer, Integer}(5 => 5, 16 => 2, 7 => 4, 20 => 2, 12 => 6, 8 => 7, 17 => 4, 1 => 1, 19 => 10, 4 => 4, 6 => 6, 13 => 4, 2 => 2, 10 => 8, 11 => 9, 9 => 5, 15 => 2, 18 => 5, 14 => 10, 3 => 3)","Vector{Any}[[1], [16, 20, 2, 15], [3], [7, 17, 4, 13], [5, 9, 18], [12, 6], [8], [10], [11], [19, 14]]"
0.41358036046994207,0.03871953636452434,0.022630540470537915,"Dict{Integer, Integer}(5 => 5, 16 => 1, 7 => 6, 20 => 3, 12 => 8, 8 => 5, 17 => 8, 1 => 1, 19 => 10, 4 => 4, 6 => 4, 13 => 9, 2 => 2, 10 => 3, 11 => 7, 9 => 3, 15 => 6, 18 => 6, 14 => 4, 3 => 3)","Vector{Any}[[16, 1], [2], [20, 10, 9, 3], [4, 6, 14], [5, 8], [7, 15, 18], [11], [12, 17], [13], [19]]"
-0.18983714325543954,-0.18788954726068408,0.02278783517054527,"Dict{Integer, Integer}(5 => 5, 16 => 7, 7 => 2, 20 => 2, 12 => 7, 8 => 1, 17 => 9, 1 => 1, 19 => 10, 4 => 4, 6 => 6, 13 => 6, 2 => 2, 10 => 3, 11 => 2, 9 => 2, 15 => 9, 18 => 5, 14 => 8, 3 => 3)","Vector{Any}[[8, 1], [7, 20, 2, 11, 9], [10, 3], [4], [5, 18], [6, 13], [16, 12], [14], [17, 15], [19]]"
-0.30238386376324455,0.10969021843003675,0.024297145664541664,"Dict{Integer, Integer}(5 => 5, 16 => 10, 7 => 7, 20 => 7, 12 => 9, 8 => 8, 17 => 6, 1 => 1, 19 => 3, 4 => 4, 6 => 6, 13 => 5, 2 => 2, 10 => 1, 11 => 1, 9 => 6, 15 => 2, 18 => 7, 14 => 3, 3 => 3)","Vector{Any}[[1, 10, 11], [2, 15], [19, 14, 3], [4], [5, 13], [17, 6, 9], [7, 20, 18], [8], [12], [16]]"
-0.7631531063043124,0.3184804321221151,0.024796375968346704,"Dict{Integer, Integer}(5 => 2, 16 => 8, 7 => 6, 20 => 2, 12 => 1, 8 => 7, 17 => 9, 1 => 1, 19 => 3, 4 => 4, 6 => 5, 13 => 4, 2 => 2, 10 => 3, 11 => 3, 9 => 6, 15 => 8, 18 => 10, 14 => 7, 3 => 3)","Vector{Any}[[12, 1], [5, 20, 2], [19, 10, 11, 3], [4, 13], [6], [7, 9], [8, 14], [16, 15], [17], [18]]"
0.5322853800502885,-0.7321012916305535,0.02102374495950977,"Dict{Integer, Integer}(5 => 4, 16 => 5, 7 => 5, 20 => 6, 12 => 3, 8 => 5, 17 => 5, 1 => 1, 19 => 10, 4 => 4, 6 => 4, 13 => 7, 2 => 2, 10 => 3, 11 => 6, 9 => 3, 15 => 9, 18 => 5, 14 => 8, 3 => 3)","Vector{Any}[[1], [2], [12, 10, 9, 3], [5, 4, 6], [16, 7, 8, 17, 18], [20, 11], [13], [14], [15], [19]]"
0.6119331182347432,0.2956857714410707,0.024953821690618383,"Dict{Integer, Integer}(5 => 4, 16 => 10, 7 => 4, 20 => 2, 12 => 8, 8 => 5, 17 => 5, 1 => 1, 19 => 10, 4 => 3, 6 => 3, 13 => 9, 2 => 1, 10 => 7, 11 => 1, 9 => 6, 15 => 9, 18 => 7, 14 => 2, 3 => 2)","Vector{Any}[[1, 2, 11], [20, 14, 3], [4, 6], [5, 7], [8, 17], [9], [10, 18], [12], [13, 15], [16, 19]]"
0.30805272159493474,0.02874347956881606,0.023170794901651356,"Dict{Integer, Integer}(5 => 4, 16 => 8, 7 => 6, 20 => 10, 12 => 3, 8 => 1, 17 => 9, 1 => 1, 19 => 8, 4 => 3, 6 => 5, 13 => 4, 2 => 2, 10 => 7, 11 => 3, 9 => 7, 15 => 4, 18 => 6, 14 => 1, 3 => 1)","Vector{Any}[[8, 1, 14, 3], [2], [12, 4, 11], [5, 13, 15], [6], [7, 18], [10, 9], [16, 19], [17], [20]]"
0.28227367085188304,-0.8885668002644003,0.022405638397631888,"Dict{Integer, Integer}(5 => 5, 16 => 9, 7 => 4, 20 => 8, 12 => 3, 8 => 6, 17 => 6, 1 => 1, 19 => 9, 4 => 4, 6 => 6, 13 => 9, 2 => 2, 10 => 7, 11 => 8, 9 => 3, 15 => 7, 18 => 6, 14 => 10, 3 => 3)","Vector{Any}[[1], [2], [12, 9, 3], [7, 4], [5], [8, 17, 6, 18], [10, 15], [20, 11], [16, 19, 13], [14]]"
0.08275479487491204,0.5993486752138287,0.022282023750293197,"Dict{Integer, Integer}(5 => 4, 16 => 1, 7 => 6, 20 => 9, 12 => 6, 8 => 4, 17 => 3, 1 => 1, 19 => 5, 4 => 1, 6 => 5, 13 => 8, 2 => 2, 10 => 5, 11 => 3, 9 => 7, 15 => 8, 18 => 10, 14 => 9, 3 => 3)","Vector{Any}[[16, 1, 4], [2], [17, 11, 3], [5, 8], [19, 6, 10], [7, 12], [9], [13, 15], [20, 14], [18]]"
-0.8095936050813722,0.06119830285460925,0.021749244159443872,"Dict{Integer, Integer}(5 => 5, 16 => 9, 7 => 3, 20 => 10, 12 => 1, 8 => 2, 17 => 3, 1 => 1, 19 => 1, 4 => 4, 6 => 1, 13 => 5, 2 => 2, 10 => 1, 11 => 7, 9 => 6, 15 => 9, 18 => 6, 14 => 8, 3 => 3)","Vector{Any}[[12, 1, 19, 6, 10], [8, 2], [7, 17, 3], [4], [5, 13], [9, 18], [11], [14], [16, 15], [20]]"
-0.2496336662017035,-0.027901373079234026,0.02348329669539987,"Dict{Integer, Integer}(5 => 4, 16 => 2, 7 => 5, 20 => 7, 12 => 9, 8 => 6, 17 => 9, 1 => 1, 19 => 5, 4 => 3, 6 => 1, 13 => 4, 2 => 2, 10 => 8, 11 => 2, 9 => 7, 15 => 2, 18 => 5, 14 => 10, 3 => 3)","Vector{Any}[[1, 6], [16, 2, 11, 15], [4, 3], [5, 13], [7, 19, 18], [8], [20, 9], [10], [12, 17], [14]]"
-0.0690631165915055,-0.05930672395154146,0.022466984986492144,"Dict{Integer, Integer}(5 => 4, 16 => 7, 7 => 1, 20 => 9, 12 => 3, 8 => 6, 17 => 9, 1 => 1, 19 => 6, 4 => 3, 6 => 5, 13 => 7, 2 => 2, 10 => 3, 11 => 3, 9 => 1, 15 => 8, 18 => 10, 14 => 8, 3 => 3)","Vector{Any}[[7, 1, 9], [2], [12, 4, 10, 11, 3], [5], [6], [8, 19], [16, 13], [15, 14], [20, 17], [18]]"
0.37482174047785943,-0.2575347124658064,0.022881664807363145,"Dict{Integer, Integer}(5 => 4, 16 => 10, 7 => 5, 20 => 6, 12 => 8, 8 => 6, 17 => 7, 1 => 1, 19 => 7, 4 => 3, 6 => 4, 13 => 9, 2 => 2, 10 => 7, 11 => 6, 9 => 2, 15 => 1, 18 => 5, 14 => 8, 3 => 3)","Vector{Any}[[1, 15], [2, 9], [4, 3], [5, 6], [7, 18], [20, 8, 11], [17, 19, 10], [12, 14], [13], [16]]"
0.1572977634216865,0.4258754340015609,0.023958018856170098,"Dict{Integer, Integer}(5 => 5, 16 => 1, 7 => 7, 20 => 10, 12 => 8, 8 => 2, 17 => 1, 1 => 1, 19 => 3, 4 => 4, 6 => 6, 13 => 9, 2 => 2, 10 => 6, 11 => 4, 9 => 5, 15 => 9, 18 => 7, 14 => 2, 3 => 3)","Vector{Any}[[16, 17, 1], [8, 2, 14], [19, 3], [4, 11], [5, 9], [6, 10], [7, 18], [12], [13, 15], [20]]"
